0	-8.548281e+04
320	-8.572500e+04
640	-8.591577e+04
960	-8.606981e+04
1280	-8.621410e+04
1600	-8.633903e+04
1920	-8.644173e+04
2240	-8.656028e+04
2560	-8.665991e+04
2880	-8.673643e+04
3200	-8.683568e+04
3520	-8.689535e+04
3840	-8.694188e+04
4160	-8.701138e+04
4480	-8.703291e+04
4800	-8.707810e+04
5120	-8.716463e+04
5440	-8.722190e+04
5760	-8.724549e+04
6080	-8.730783e+04
6400	-8.731756e+04
6720	-8.738184e+04
7040	-8.742848e+04
7360	-8.744258e+04
7680	-8.749904e+04
8000	-8.757999e+04
8320	-8.764754e+04
8640	-8.767242e+04
8960	-8.774936e+04
9280	-8.775158e+04
9600	-8.780420e+04
9920	-8.788560e+04
10240	-8.796043e+04
10560	-8.798014e+04
10880	-8.803176e+04
11200	-8.805630e+04
11520	-8.807007e+04
11840	-8.810521e+04
12160	-8.814674e+04
12480	-8.821050e+04
12800	-8.826854e+04
13120	-8.830249e+04
13440	-8.837202e+04
13760	-8.839269e+04
14080	-8.841284e+04
14400	-8.851358e+04
14720	-8.861354e+04
15040	-8.864880e+04
15360	-8.869203e+04
15680	-8.871478e+04
16000	-8.870283e+04
16320	-8.873357e+04
16640	-8.880538e+04
16960	-8.878917e+04
17280	-8.880014e+04
17600	-8.890280e+04
17920	-8.895628e+04
18240	-8.891362e+04
18560	-8.892411e+04
18880	-8.897675e+04
19200	-8.902031e+04
19520	-8.901950e+04
19840	-8.913558e+04
20160	-8.923037e+04
20480	-8.923715e+04
20800	-8.941362e+04
21120	-8.950084e+04
21440	-8.953371e+04
21760	-8.953444e+04
22080	-8.956401e+04
22400	-8.967125e+04
22720	-8.975694e+04
23040	-8.973867e+04
23360	-8.976255e+04
23680	-8.975268e+04
24000	-8.973350e+04
24320	-8.977030e+04
24640	-8.980079e+04
24960	-8.984461e+04
25280	-8.978501e+04
25600	-8.989280e+04
25920	-9.004536e+04
26240	-9.006460e+04
26560	-9.005845e+04
26880	-9.011170e+04
27200	-9.022713e+04
27520	-9.020461e+04
27840	-9.017636e+04
28160	-9.020744e+04
28480	-9.035217e+04
28800	-9.050370e+04
29120	-9.048557e+04
29440	-9.050639e+04
29760	-9.066015e+04
30080	-9.067796e+04
30400	-9.067496e+04
30720	-9.062863e+04
31040	-9.066680e+04
31360	-9.074382e+04
31680	-9.061883e+04
32000	-9.058492e+04
32320	-9.066603e+04
32640	-9.062312e+04
32960	-9.067723e+04
33280	-9.065039e+04
33600	-9.065440e+04
33920	-9.074915e+04
34240	-9.069207e+04
34560	-9.070489e+04
34880	-9.060200e+04
35200	-9.061609e+04
35520	-9.058896e+04
35840	-9.057803e+04
36160	-9.057209e+04
36480	-9.061073e+04
36800	-9.079556e+04
37120	-9.085295e+04
37440	-9.078480e+04
37760	-9.081122e+04
